l,h
110,34
103,34
140,55
140,55
140,55
140,55
112,34
196,30
140,34
140,34
118,55
118,55
115,34
140,34
140,34
115,38
140,55
140,55
78,55
78,55
120,34
199,34
110,34
140,55
140,55
115,55
170,76
170,76
127,34
170,34
170,34
115,55
174,34
174,34
118,34
118,34
115,55
115,55
150,55
150,55
140,55
140,55
165,38
165,38
115,55
115,55
100,34
100,34
104,34
115,34
115,34
140,34
160,34
140,76
400,76
400,76
399,76
399,76
140,55
140,55
107,76
107,76
150,55
140,55
140,55
140,55
160,36
160,16
140,24
140,26
110,32
110,38
110,38
140,32
140,32
170,76
170,76
88,55
75,55
75,55
190,76
190,76
120,76
93,55
144,34
144,34
115,38
110,38
170,55
170,55
140,34
140,34
115,34
115,34
300,55
304,34
304,34
140,55
140,55
170,55
170,55
180,34
180,34
90,28
90,28
265,76
210,76
212,76
173,76
160,76
160,76
115,34
140,34
110,38
162,55
150,34
112,34
112,34
115,55
126,55
110,28
110,28
186,34
160,34
212,38
212,55
124,24
90,34
94,28
115,55
115,55
140,24
140,34
140,55
140,55
140,55
264,76
95,76
323,76
399,76
192,55
155,76
190,76
550,76
403,76
403,76
175,38
175,38
140,55
140,55
190,18
232,55
120,55
150,34
150,34
150,34
300,76
300,55
300,55
142,34
142,34
160,28
160,28
110,55
110,55
170,34
146,34
140,38
160,34
160,34
120,34
160,38
190,76
190,76
246,76
212,76
140,76
140,55
216,20
216,20
153,34
152,34
140,38
140,38
106,38
106,38
210,55
210,55
210,55
191,76
190,76
190,76
148,34
147,32
107,20
107,24
70,76
70,76
111,76
111,76
115,55
170,34
170,34
140,34
115,16
95,22
95,24
115,34
115,34
115,55
252,76
252,76
252,76
252,76
219,76
219,76
261,76
280,76
166,38
280,76
280,76
211,76
212,76
211,76
214,76
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,76
210,76
232,76
218,76
210,96
210,96
210,76
249,76
210,76
210,76
215,96
215,96
210,76
210,76
210,96
210,96
221,76
225,76
225,76
210,96
210,96
140,76
215,76
215,76
210,96
210,96
193,34
212,96
212,96
215,96
215,96
210,96
210,96
216,96
216,96
250,76
250,76
210,96
210,96
220,76
220,76
247,96
247,96
210,96
210,96
240,96
240,96
240,96
240,96
410,76
410,76
410,76
410,76
324,38
213,96
213,96
225,96
225,96
210,96
350,76
350,76
210,76
210,76
210,76
210,76
233,76
221,76
221,76
244,76
238,76
238,76
255,76
255,76
261,76
261,76
342,76
342,76
231,76
231,76
187,76
187,76
234,76
234,76
212,96
212,96
229,34
229,34
229,38
225,76
238,76
215,96
215,96
215,96
242,76
223,76
210,76
210,76
210,76
110,76
223,76
210,76
210,76
221,76
211,76
211,76
235,34
263,34
266,55
244,55
199,38
220,38
220,38
220,38
320,76
320,76
170,76
170,76
232,76
232,76
232,76
210,96
210,96
258,76
248,76
248,76
210,76
210,76
210,76
210,76
220,76
247,76
247,76
225,76
223,76
210,96
210,96
210,96
298,76
298,76
241,38
281,38
281,38
170,38
176,38
311,76
245,76
242,76
242,76
222,76
214,76
214,76
216,76
263,76
263,76
211,96
211,96
212,96
212,96
252,30
210,96
210,96
210,76
211,76
211,76
210,76
210,76
265,76
234,76
210,96
210,96
215,96
215,76
210,96
210,96
210,76
210,76
210,96
210,96
355,55
409,55
405,76
351,76
170,76
211,96
211,96
211,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,76
210,76
210,76
210,76
210,76
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
210,96
212,76
222,76
222,76
257,76
257,76
285,76
285,76
210,96
210,96
210,76
210,76
210,96
210,76
210,76
244,76
244,76
242,76
242,76
218,76
218,76
218,76
218,76
160,76
160,76
210,76
210,76
210,76
210,76
160,76
160,76
160,76
160,76
210,76
210,76
210,76
160,76
160,76
220,76
205,76
220,76
220,76
210,76
